127.0.0.1 - - [10/Apr/2019:07:27:08 +0200] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:56 +0200] "GET /MyTravel/ HTTP/1.1" 200 4465
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:56 +0200] "GET /MyTravel/javax.faces.resource/stack/stack.css.xhtml;jsessionid=A1B4ED82AD385A795B9381DD274BD92D?ln=primefaces&v=7.0 HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:57 +0200] "GET /MyTravel/javax.faces.resource/stack/stack.js.xhtml;jsessionid=A1B4ED82AD385A795B9381DD274BD92D?ln=primefaces&v=7.0 HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:57 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=A1B4ED82AD385A795B9381DD274BD92D?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:57 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml;jsessionid=A1B4ED82AD385A795B9381DD274BD92D?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:57 +0200] "GET /MyTravel/globe.png;jsessionid=A1B4ED82AD385A795B9381DD274BD92D HTTP/1.1" 200 78363
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:57 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:57 +0200] "GET /MyTravel/logo.jpg;jsessionid=A1B4ED82AD385A795B9381DD274BD92D HTTP/1.1" 200 62187
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:57 +0200] "GET /MyTravel/avion.jpg;jsessionid=A1B4ED82AD385A795B9381DD274BD92D HTTP/1.1" 200 33016
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:57 +0200] "GET /MyTravel/contact.jpg;jsessionid=A1B4ED82AD385A795B9381DD274BD92D HTTP/1.1" 200 6088
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:57 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml;jsessionid=A1B4ED82AD385A795B9381DD274BD92D?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:27:57 +0200] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/ HTTP/1.1" 200 4069
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/javax.faces.resource/stack/stack.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/javax.faces.resource/stack/stack.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/globe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/avion.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:27 +0200] "GET /MyTravel/contact.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:28:34 +0200] "GET /MyTravel/booking.xhtml HTTP/1.1" 500 45282
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:41 +0200] "GET /MyTravel/booking.xhtml HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:41 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:41 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:41 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:41 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:41 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:41 +0200] "GET /MyTravel/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:42 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:42 +0200] "GET /MyTravel/nuages.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:42 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "POST /MyTravel/booking.xhtml HTTP/1.1" 200 17372
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/photo4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/photo5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/photo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/photo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/photo3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/camping1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/photo7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/photo6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/photo0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:29:48 +0200] "GET /MyTravel/camping0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:04 +0200] "GET /MyTravel/booking.xhtml HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:04 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:04 +0200] "GET /MyTravel/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:04 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:04 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:04 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:04 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:05 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:05 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:09 +0200] "POST /MyTravel/booking.xhtml HTTP/1.1" 500 2203
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:43:09 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:12 +0200] "GET /MyTravel/booking.xhtml HTTP/1.1" 200 11923
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:12 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:12 +0200] "GET /MyTravel/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:12 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:12 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:12 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:12 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:12 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:12 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:18 +0200] "POST /MyTravel/booking.xhtml HTTP/1.1" 500 2203
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:45:18 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_898989_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:58:37 +0200] "GET /MyTravel/booking.xhtml HTTP/1.1" 200 11923
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:58:37 +0200] "GET /MyTravel/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:58:37 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:58:37 +0200] "GET /MyTravel/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:58:37 +0200] "GET /MyTravel/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:58:37 +0200] "GET /MyTravel/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:58:37 +0200] "GET /MyTravel/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:58:37 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:58:37 +0200] "GET /MyTravel/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2019:07:58:41 +0200] "POST /MyTravel/booking.xhtml HTTP/1.1" 200 17892
